id,target
0,57562.85853297872
1,46840.20325534265
3,31400.27196833454
9,80549.48297844981
11,44024.26328627495
12,155950.75490305852
13,61159.57071651989
15,148491.68614549947
16,36328.45279319053
17,25813.973145891836
18,23394.815279203518
21,117094.92739825814
23,43941.984588680636
24,122779.47763030078
25,29818.21963373878
33,22155.838847310893
36,156379.21462161883
37,135156.25396138345
38,98322.24245560783
39,95150.49437712919
43,47791.88160236842
45,130065.47420268325
47,66651.2721124014
50,54496.4579677163
51,177729.57705434295
53,106057.87491581973
57,154326.95808564362
58,38233.68803251096
59,40606.68175258187
60,268493.29103959794
62,63363.55976335976
63,666252.0965292335
64,160383.54498381552
65,66564.76976111118
68,58938.7626885716
69,261976.25062824617
73,94588.14057756205
76,120001.15072890972
77,47031.29601448794
78,86610.92911809523
80,113832.14528909273
82,67778.4082879727
86,283183.02765982936
89,227234.07560515785
93,173547.78100573856
94,387473.7409986117
96,32043.56927449472
100,45885.02192756417
101,115470.38757610941
104,60551.290557554836
105,44299.306247607754
107,48694.3284661066
109,63885.69144662542
110,130851.18214148146
112,52014.177476641205
113,97985.01256605293
114,33753.748307530754
115,39518.61346952171
116,113683.96313205922
117,114157.55143087472
118,49453.76153468612
119,89018.740680546
123,119810.2778979393
125,294420.2864887885
126,49485.764630887126
129,37810.1191510308
132,58203.74368685647
133,60863.40993543559
134,26992.158514889583
136,25639.626406615116
142,40445.09778878437
144,38559.91393463804
145,46712.496463587326
150,36267.228586984034
152,264460.19897494477
154,505481.9848014147
155,36561.98256115845
156,39132.03662771051
159,148649.91941821863
160,157108.85456726438
162,40842.16670880071
165,44855.63058990749
167,38038.32188897494
173,80643.6151098792
177,253682.1277479052
179,40169.552583817655
180,30338.2798787291
182,159070.07727542045
183,57592.643088716315
186,393685.87123855
190,159098.02971001534
191,80929.772087298
192,126670.5328789597
195,65705.45643343386
197,67107.01080037198
198,78669.48551567087
201,125384.88616759621
202,73118.88798129035
207,159962.17471767488
208,40182.229658257485
209,32819.420289506874
211,145283.47961658743
212,160126.86002668887
214,38237.91775731377
219,50348.104941125894
220,152837.59883928433
223,63447.61804349332
232,48305.18736473988
233,73015.62010427093
234,51426.35168445801
241,68984.80604622002
242,61574.067239520635
243,54847.249964701026
244,59361.21856631073
246,69678.68868751024
250,40270.14553777095
252,100102.75314171925
253,54814.76292802889
254,256802.13928999612
260,27928.84731821591
262,249586.91169214516
264,36633.1101770233
265,42221.26842534509
267,59315.3600215681
268,157386.0282027298
271,37435.7015895851
272,51463.5373442623
273,99468.83397652011
275,183423.3462813083
277,40208.8190633895
278,66797.76303350012
279,86260.36417828422
280,61108.377575213235
282,122563.56961860956
283,53120.55499715215
286,94420.0565086428
290,159332.76740160852
291,75088.17445232415
292,44954.46343360429
294,39052.37551568543
295,58395.7604954763
297,130119.88903848166
299,75103.98784821824
302,121488.84297797538
303,175000.79511401095
308,22471.314940387754
313,33171.75169489936
314,31714.353783092007
315,191355.61870074534
317,35855.68821183556
319,22096.97496854566
320,59924.26262138732
322,33623.86262881352
323,38585.701132308284
325,27618.300480332342
326,36332.207383329485
327,40638.67254981424
329,268623.97467788117
330,111549.06271647513
332,75389.7272693767
334,34694.93709050148
335,147008.26952636312
339,121623.13531661786
342,96204.67091728676
344,51440.21655006626
345,42794.237714877454
348,37263.1863400752
352,139796.74274854932
354,36341.82998377738
355,59138.266304421464
360,25152.575236831624
362,274891.79556720494
363,37867.40554956963
364,191597.97493871162
369,74159.06204673173
373,55884.69467180271
374,29664.67929007393
375,349823.93475670763
377,27139.43670752797
378,65431.9596064642
379,72181.99419259012
381,60765.39458162921
383,29168.042444022067
386,73379.6344543646
387,28037.985685878877
390,104564.97227011439
391,50361.47975096468
394,37133.819925022006
397,172273.3293063878
399,114893.60164474575
400,44347.73051203418
402,106156.4453182772
406,65778.71907570284
407,304009.9568994938
409,50533.62693589994
413,553317.268247853
414,44317.95981219919
416,211254.4787227375
417,22473.11342193922
420,69496.95424454726
421,40476.175289405925
422,39074.460067237014
423,286777.3838606137
424,38406.183705929965
425,35139.9122060581
426,87586.11801920093
429,60363.70578432613
432,24686.118041730846
434,37316.77240686636
435,70593.84630412902
437,63614.04105075266
438,44578.33152431205
439,420535.4221221964
441,117452.38456821877
442,711347.2620072396
443,20175.013363051094
444,79293.9117378491
446,58996.01062001589
450,146937.93212278353
455,34658.365342507845
456,126017.4827444173
461,35516.720082796775
462,31231.950034888545
463,77592.82289459552
468,77453.19643210577
470,70174.22787221395
471,95363.79054556345
472,52070.674147232836
473,43144.028310683694
474,35041.427701862434
475,79749.97701441318
476,40257.12767208828
478,54807.45274638074
480,148104.48741666862
482,67110.44819314295
483,76344.56428298907
484,71924.15621286808
